character,film,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
OPERATOR,EpisodeVI,-0.116939992,0.481774986,-0.076985002,-0.552019954,0.570315003,0.098113999,-0.507740021,0.100465,-0.76197499,-0.45372498,-0.457065016,1.191500068,-0.275357515,-0.640163004,0.37568149,0.288480014,0.626465023,-0.311429977,-0.458544999,-0.492354989,0.145034999,0.497779965,0.090699986,-0.183519989,0.827435017,-1.130079985,-0.659274995,-0.548485041,-0.049219996,0.328799993,1.439369917,-0.052239984,-0.433764994,0.024574995,0.37518999,-0.451799005,0.56485498,-0.112326004,0.004375,-0.408365011,0.470317006,0.535555542,-0.438579977,-0.279694498,-0.089679994,0.467585027,-0.672440052,-0.484640002,0.240444988,0.721605003
PIETT,EpisodeVI,0.46576795,0.132116919,0.262158958,-0.188160442,0.421085972,-0.244255438,-0.148894096,0.222372572,0.061459334,-0.222255891,-0.036360714,0.314020989,-0.163686757,0.17023407,0.098440466,0.317501059,0.096855451,-0.231478546,-0.067551186,-0.58128649,0.302745023,0.051768894,0.095660543,-0.242336086,0.099124065,-1.261966422,0.052156016,-0.203343404,0.353243632,-0.084471643,2.510422379,0.607296107,-0.673355009,-0.188665884,0.180417942,0.072344725,0.095517203,0.026796164,-0.337208536,-0.136929912,-0.114244839,-0.012636424,0.157489398,0.028772005,0.03116988,0.026697748,-0.100438746,0.136278089,-0.07957061,-0.06903554
PILOT,EpisodeVI,-0.556770027,0.671511948,0.403831005,0.618903339,0.888570011,0.041110326,-0.498696685,-0.117139004,-0.057326674,-0.022002334,0.294237643,0.007078668,-0.364399999,0.126110002,0.527763307,0.007543668,-0.132510006,-0.362214655,-0.233150005,-0.395699978,0.0610133,-0.062460005,0.030363331,-0.44565931,-0.093793333,-1.648033261,-0.643593311,-0.192847326,-0.310858339,-0.101406656,2.242566586,-0.473073155,-0.664893329,0.290123343,-0.119943343,-0.187519982,0.217916653,0.378843337,-0.353646666,-0.450693339,0.589574993,0.054683346,-0.100793324,-0.346456647,0.339036673,-0.206517681,-0.489596635,-0.264399976,0.070499338,-0.736153364
SCOUT,EpisodeVI,0.312680006,-0.181535006,-0.023590006,-0.455015004,0.067220002,-0.208441496,-0.538855016,-0.046594992,0.031114995,0.126383007,-0.454795003,0.142773494,-0.565930009,0.190485001,0.420230001,0.357704997,0.329755008,-0.116925001,0.038255002,-0.804305017,0.115565002,0.400375009,0.070721254,0.321074992,0.249115005,-1.873450041,-0.347479969,0.542400002,0.989860058,-0.94075501,2.97874999,0.647265017,-0.5135445,-0.382375002,-0.260861516,0.085297495,0.007294998,-0.148829997,-0.336890012,-0.30616501,-0.243515015,0.115288496,0.165228844,0.127514988,0.523859978,-0.023995005,0.067595005,-0.038911998,0.079592004,0.175524995
STORMTROOPER,EpisodeVI,0.228293664,-0.055838335,0.310460565,-0.421504998,0.20044942,-0.255591913,-0.259459501,0.388952831,-0.205680341,0.008194278,-0.256889664,0.14283473,-0.361881676,0.261659622,0.465150263,0.701396658,0.443181008,-0.508295015,0.212920352,-0.417116163,0.386722859,-0.03786017,0.051618962,-0.065251946,-0.11385739,-1.57080998,0.366689419,0.220393998,0.670922344,-0.267813546,3.011003375,0.404423686,-0.731408293,0.206068398,-0.206729013,-0.156809649,0.122492834,-0.152925959,0.019640663,-0.455121001,-0.339168407,-0.068627496,0.083672315,0.084315668,0.130285438,0.014086672,-0.099059142,0.159542513,-0.169495568,0.043105181
THREEPIO,EpisodeVI,0.185334843,0.268965611,0.057863324,-0.290653396,0.33912083,-0.249224701,-0.130579703,0.209077632,-0.229120238,0.222438117,-0.139933991,0.403161769,-0.254580532,0.095912691,0.323080141,0.305930927,0.142742987,-0.043183273,0.021568589,-0.102630996,-0.226357431,0.3212749,0.307501061,0.113274855,0.474865629,-1.261620639,-0.650735712,0.108819515,0.335729598,-0.465702642,1.923096381,0.362971565,-0.27192119,0.124214586,0.086938855,-0.143332155,0.189478869,-0.023687262,0.105737958,-0.167253816,-0.138856211,0.092649727,-0.039449239,0.103036822,0.103476786,0.087458937,-0.05550738,-0.149537309,0.037910215,0.232787
VADER,EpisodeVI,0.343943332,0.153315575,-0.064851531,-0.26683321,0.458044151,-0.057293092,-0.11511016,0.209880897,-0.262491714,-0.027423012,0.026452475,0.430407077,-0.272852868,-0.071298055,0.279991538,0.282403578,0.094241361,-0.00346244,-0.078852376,-0.196322648,-0.09156122,0.242422248,0.027126942,-0.101736026,0.399220151,-1.366570162,-0.430049406,-0.218008559,0.290237056,-0.152132487,2.266038559,0.182675704,-0.468159492,-0.20072415,0.075869922,-0.000151017,0.033754555,0.022026895,-0.151075318,-0.253399304,-0.106137472,-0.04825059,-0.019230913,0.115627429,0.0199613,0.027882982,0.02918476,-0.09395973,-0.190868483,0.082742908
WEDGE,EpisodeVI,0.040661701,0.2100615,0.234967626,0.048540984,0.50839726,-0.02977357,-0.543629324,0.134293088,-0.188183857,-0.220463572,-0.030983758,-0.048019246,-0.525581509,0.249172647,0.175071785,0.060486651,0.193695999,-0.23318071,-0.450634289,-0.469575962,-0.190104879,0.081620253,0.096915651,-0.12662646,-0.049356347,-1.552370763,-0.157943914,0.060981713,0.196382212,-0.236777563,2.867523646,0.242044243,-0.461963354,0.07024007,0.103083323,0.033231515,0.096994865,0.134949884,-0.117128184,-0.236321418,-0.07767612,0.088088136,-0.034875806,-0.058949327,0.285093908,-0.051609404,-0.196169311,-0.181077518,0.040859448,-0.266807409
YODA,EpisodeVI,0.272607002,0.11869488,0.00418572,-0.247753549,0.517625565,0.011727175,-0.27485763,0.290088821,-0.203838987,-0.088873598,0.006155319,0.250851632,-0.377525559,-0.007128775,0.485032727,0.253633176,0.060318659,-0.055928768,-0.042151064,-0.27113644,-0.277970062,0.416323756,0.085277927,-0.046921019,0.396694671,-1.421702848,-0.395548686,-0.003359863,0.362550346,-0.083628556,2.421389974,0.357409221,-0.229729376,-0.229805764,0.004457617,0.012073368,0.068814385,-0.0157382,0.060699088,-0.260401959,-0.27791989,0.116768129,0.006303758,0.070480687,0.129231948,0.051437116,-0.197751034,-0.00873611,-0.040349568,0.20408613
ANNOUNCER,EpisodeV,0.485595246,-0.065689302,0.236101747,-0.142570833,0.347602844,-0.554828785,-0.536930616,0.183055116,0.082744916,-1.03317673,0.258387839,-0.215277091,-0.291614311,8.93E-05,-0.263147401,-0.083028446,-0.173158859,0.163238779,-0.698371331,-0.039726422,0.297936087,-0.012413179,-0.094675783,-0.243876172,-0.377359231,-1.439643621,0.088439125,-0.131157503,0.046564713,0.099052534,2.867382129,0.051784073,-0.331168001,-0.401862526,0.121513804,0.323969891,0.135857398,0.09378715,-0.082927053,0.369921843,-0.000350125,-0.032794621,0.285831297,-0.387612959,-0.131213623,-0.095720716,-0.266682242,-0.057772835,-0.167184045,-0.075612575
